Tree,Size,DupPct,InsertTime,SearchSuccessTime,SearchFailureTime,Height,Nodes
ABRList,5000,0.5,0.010084602500137407,0.0077190224998958,0.008975492500576365,24.5,2500
ABRNormal,5000,0.8,0.00942050500007099,0.007197267500214366,0.011144720000447705,29.4,5000
ABRFlag,5000,0.8,0.0076718325000911134,0.006894567499966797,0.008010905000173808,21.275,999
ABRList,5000,0.8,0.008664082500035874,0.006821202499941137,0.007898637500056793,21.275,999
ABRNormal,7500,0.1,0.014905474999795842,0.014310412499526137,0.016475125000033584,28.825,7500
ABRFlag,7500,0.1,0.0184075049999592,0.01392170499993881,0.01681893249970017,28.375,6750
ABRList,7500,0.1,0.020325242500257447,0.014324102500268054,0.016384624999955123,28.375,6750
ABRNormal,7500,0.5,0.015053922499646433,0.013522459999876446,0.016515400000116642,29.25,7500
ABRFlag,7500,0.5,0.01549706249988958,0.01288019500025257,0.014456449999306642,26.225,3750
ABRList,7500,0.5,0.01655676249993121,0.012698597500275355,0.014693889999944077,26.225,3750
ABRNormal,7500,0.8,0.015016012500018406,0.011582217499926628,0.017608714999732912,31.15,7500
ABRFlag,7500,0.8,0.012940337500094757,0.010691879999922094,0.012750235000021348,22.45,1499
ABRList,7500,0.8,0.01336758000015834,0.010829037500025151,0.012791404999916267,22.45,1499
ABRNormal,10000,0.1,0.02314017500020782,0.02014017750052517,0.023604817500472563,30.4,10000
ABRFlag,10000,0.1,0.02563539250022586,0.020438467499207035,0.022687697499804926,30.175,9000
ABRList,10000,0.1,0.029574747499555087,0.02008918249985072,0.02281237749984939,30.175,9000
ABRNormal,10000,0.5,0.02016323999969245,0.018398030000025756,0.022554002500328352,30.175,10000
ABRFlag,10000,0.5,0.022686084999804734,0.01769637750021502,0.020287782500054162,27.35,5000
ABRList,10000,0.5,0.02292808500014871,0.017415530000107537,0.020649337500253752,27.35,5000
ABRNormal,10000,0.8,0.021051964999696793,0.016013472500162607,0.024046372499924473,31.8,10000
ABRFlag,10000,0.8,0.017562627499501104,0.014812197500486946,0.017365694999443803,23.15,1999
ABRList,10000,0.8,0.018647382499875676,0.014885952500117127,0.01791451999997662,23.15,1999
